flops,execution_time,cycle_count,throughput,energy_efficiency,power_efficiency,function,arch,subarch,arch_dim,max_seq_len,flops_baseline,execution_time_baseline,cycle_count_baseline
0.010704655026053675,0.0011152999103065146,446119.9641226071,22.49532613198019,421.82874755867635,18.74794433594117,softmax,mugi,vlp,128x8,max_seq_len_128,0.010706879138942546,0.025094247981896595,10037699.19275864
1.6314406665827477,0.16994173610236954,67976694.44094765,22.5,484.4078689151532,21.529238618451263,silu,mugi,vlp,128x8,max_seq_len_128,1.6314406665827477,3.8236890623033144,1529475624.9213274
0.03638337499092116,0.003790629913222456,1516251.9652889827,22.495874587366284,421.5826658799226,18.737007372441028,softmax,mugi,vlp,128x8,max_seq_len_256,0.03639004716693558,0.08528917304750525,34115669.219002165
1.6314406665827477,0.16994173610236954,67976694.44094765,22.5,484.4078689151532,21.529238618451263,silu,mugi,vlp,128x8,max_seq_len_256,1.6314406665827477,3.8236890623033144,1529475624.9213274
0.13897373292430787,0.014478052106689251,5791220.842675696,22.49747991933634,421.5367551039303,18.73496689350803,softmax,mugi,vlp,128x8,max_seq_len_512,0.1389893002242168,0.3257561724005081,130302468.9602029
1.6314406665827477,0.16994173610236954,67976694.44094765,22.5,484.4078689151532,21.529238618451263,silu,mugi,vlp,128x8,max_seq_len_512,1.6314406665827477,3.8236890623033144,1529475624.9213274
0.549086117554038,0.057199945244162505,22879978.097664975,22.498633215887764,421.5396490787787,18.735095514612386,softmax,mugi,vlp,128x8,max_seq_len_1024,0.5491194743439599,1.2869987679936559,514799507.19746184
1.6314406665827477,0.16994173610236954,67976694.44094765,22.5,484.4078689151532,21.529238618451263,silu,mugi,vlp,128x8,max_seq_len_1024,1.6314406665827477,3.8236890623033144,1529475624.9213274
2.1890375592551483,0.2280319265212676,91212770.60850728,22.49929147103771,421.5479379287943,18.735463907946396,softmax,mugi,vlp,128x8,max_seq_len_2048,2.189106494604169,5.1307183467285205,2052287338.6914134
1.6314406665827477,0.16994173610236954,67976694.44094765,22.5,484.4078689151532,21.529238618451263,silu,mugi,vlp,128x8,max_seq_len_2048,1.6314406665827477,3.8236890623033144,1529475624.9213274
8.747847130956595,0.9112486690841123,364499467.63364536,22.499639679898426,421.5538004965855,18.735724466514913,softmax,mugi,vlp,128x8,max_seq_len_4096,8.74798722320748,20.503095054392535,8201238021.7569895
1.6314406665827477,0.16994173610236954,67976694.44094765,22.5,484.4078689151532,21.529238618451263,silu,mugi,vlp,128x8,max_seq_len_4096,1.6314406665827477,3.8236890623033144,1529475624.9213274
0.01070020402552972,0.0005576499551532573,223059.98206130313,44.97194512988527,970.8090647085068,21.57353477130015,softmax,mugi,vlp,256x8,max_seq_len_128,0.010706879138942546,0.025094247981896595,10037699.19275864
1.6314406665827477,0.08497086805118478,33988347.220474005,45.0,1157.046848958633,25.71215219908074,silu,mugi,vlp,256x8,max_seq_len_128,1.6314406665827477,3.8236890623033144,1529475624.9213274
0.03637002329247787,0.0018953149566112262,758125.9826444912,44.975238439607864,969.8608851530698,21.55246411451265,softmax,mugi,vlp,256x8,max_seq_len_256,0.03639004716693558,0.08528917304750525,34115669.219002165
1.6314406665827477,0.08497086805118478,33988347.220474005,45.0,1157.046848958633,25.71215219908074,silu,mugi,vlp,256x8,max_seq_len_256,1.6314406665827477,3.8236890623033144,1529475624.9213274
0.1389425878574583,0.0072390260533446256,2895610.421337853,44.98487612714977,969.7594286615441,21.550209525812107,softmax,mugi,vlp,256x8,max_seq_len_512,0.1389893002242168,0.3257561724005081,130302468.9602029
1.6314406665827477,0.08497086805118478,33988347.220474005,45.0,1157.046848958633,25.71215219908074,silu,mugi,vlp,256x8,max_seq_len_512,1.6314406665827477,3.8236890623033144,1529475624.9213274
0.549019391813005,0.02859997262208125,11439989.048832506,44.991798298724774,969.8285931861155,21.551746515247007,softmax,mugi,vlp,256x8,max_seq_len_1024,0.5491194743439599,1.2869987679936559,514799507.19746184
1.6314406665827477,0.08497086805118478,33988347.220474005,45.0,1157.046848958633,25.71215219908074,silu,mugi,vlp,256x8,max_seq_len_1024,1.6314406665827477,3.8236890623033144,1529475624.9213274
2.1888996755304753,0.11401596326063382,45606385.304253556,44.99574855844651,969.894332792692,21.55320739539317,softmax,mugi,vlp,256x8,max_seq_len_2048,2.189106494604169,5.1307183467285205,2052287338.6914134
1.6314406665827477,0.08497086805118478,33988347.220474005,45.0,1157.046848958633,25.71215219908074,silu,mugi,vlp,256x8,max_seq_len_2048,1.6314406665827477,3.8236890623033144,1529475624.9213274
8.747566932993012,0.45562433454205614,182249733.81682232,44.99783801014238,969.9349551958835,21.55411011546408,softmax,mugi,vlp,256x8,max_seq_len_4096,8.74798722320748,20.503095054392535,8201238021.7569895
1.6314406665827477,0.08497086805118478,33988347.220474005,45.0,1157.046848958633,25.71215219908074,silu,mugi,vlp,256x8,max_seq_len_4096,1.6314406665827477,3.8236890623033144,1529475624.9213274
0.010704655026053675,0.0032570600508631275,1302824.0203452522,7.7029698026797675,52.332185501766496,6.792356196333404,softmax,carat,,128x8,max_seq_len_128,0.010706879138942546,0.025094247981896595,10037699.19275864
1.6314406665827477,0.47796113278791436,191184453.11516553,8.0,58.13758092468121,7.267197615585154,silu,carat,,128x8,max_seq_len_128,1.6314406665827477,3.8236890623033144,1529475624.9213274
0.03638337499092116,0.011252724285411853,4501089.714164738,7.578034702718254,50.858884054290826,6.7101248526339665,softmax,carat,,128x8,max_seq_len_256,0.03639004716693558,0.08528917304750525,34115669.219002165
1.6314406665827477,0.47796113278791436,191184453.11516553,8.0,58.13758092468121,7.267197615585154,silu,carat,,128x8,max_seq_len_256,1.6314406665827477,3.8236890623033144,1529475624.9213274
0.13897373292430787,0.04319211583847857,17276846.33539146,7.541183853076552,50.42342996015256,6.685658821944465,softmax,carat,,128x8,max_seq_len_512,0.1389893002242168,0.3257561724005081,130302468.9602029
