XMT-name	Database-name
Albite    ABHGP_abM
Albite    FSP4TR_ab
Amphibole	anth
Amphibole	cumm
Amphibole	fact
Amphibole	fanth
Amphibole	grun
Amphibole	rieb
Amphibole	ts
Amphibole   Camp
Andalusite	and
Anorthite	PlHP_an
Aragonite	arag
Biotite	BI14
Brucite	br
Calcite	cc
Chlorite	CHL14
Chloritoid	CTD14
Chloritoid	CTD14_mctd
Chloritoid	CTD14_fctd
Chloritoid	CTD14_mnct
Chloritoid	CTD14_ctdo
Clinopyroxene	OPX14_en
Clinopyroxene	OPX14_di
Clinopyroxene	OPX14_fs
Clinopyroxene	OPX14_fm
Coesite	coe
Cordierite	cor
Dolomite	dol
Epidote	ep
Epidote	zo
Epidote	EP11_ep
Epidote	EP11_fep
Garnet	GRT
Glaucophane	Camp_glm
Glaucophane	fgl
Hematite	hem
Ilmenite	ilm
Kfeldspar	fspr
Kyanite	ky
Lawsonite	law
Magnesite	mag
Magnetite	mt
Muscovite	WM_mu
Olivine	fa
Olivine	fo
Omphacite	OMPH_om
Orthopyroxene	OPX14
Paragonite	WM_pa
Phengite	WM_cel
Quartz	q
Rutile	ru
Serpentine	atg
Sillimanite	sill
Spinel	sp
Staurolite	ST14_fst
Staurolite	fst
Stilpnomelane	STlP
Talc	fta
Talc	ta
Talc	tap
Talc	tats
Tremolite	tr
Titanite	sph
Zircon	zrc
Zoisite	zo
Zoisite	EP11_cz
