XMT-name	Database-name
Albite	high-albite
Amphibole	ClAMP
Amphibole	ferroactinolite
Amphibole	glaucophane
Amphibole	ClAMP_gl2
Andalusite	andalusite
Anorthite	anorthiteC1
Apatite	apatite
Aragonite aragonite
Biotite	BIO
Brucite	brucite
Calcite	CCDO
Chlorite	CHLR
Chloritoid	CHTD
Clinopyroxene	OMPH_jd
Clinopyroxene	OMPH_di
Clinopyroxene	OMPH_hed
Clinopyroxene	OMPH_om
Coesite	coesite
Cordierite	crd
Cordierite	CORD
Dolomite	CCDO
Epidote	EPI
Epidote	epidote
Epidote	Fe-epidote
Epidote	zoisite
Epidote	clinozoisite
Garnet	GARNET
Hematite	hematite
Ilmenite	ilmenite
Kfeldspar	FSP
Kyanite	kyanite
Lawsonite	lawsonite
Magnesite	CCDO_magnesite2
Magnetite	magnetite
Monazite	monazite
Muscovite	PHNG_mu
Olivine	OLIVINEi
Orthopyroxene	OPX
Paragonite	paragonite
Phengite	PHNG
Quartz	quartz
Rutile	rutile
Serpentine	antigorite
Sillimanite	sill
Spinel	SPIN
Staurolite	STAU
Talc	TALC
Titanite	sphene
Turmaline	turmaline
Zircon	zircon
