CropCode,FerMon_First,FerDay_First,FerMon_Last,FerDay_Last,FerType,FerRate,FerSurface
1,-1000,-1000,-1000,-1000,1,70,0.2
1,-1000,-1000,-1000,-1000,2,30,0.2
5,-1000,-1000,-1000,-1000,1,24,0.2
5,-1000,-1000,-1000,-1000,2,12,0.2
12,5,1,5,14,1,10,0.2
12,5,1,5,14,2,2,0.2
19,-1000,-1000,-1000,-1000,1,120,0.2
19,-1000,-1000,-1000,-1000,2,20,0.2
27,-1000,-1000,-1000,-1000,1,90,0.2
27,-1000,-1000,-1000,-1000,2,30,0.2
30,-1000,-1000,-1000,-1000,1,90,0.2
30,-1000,-1000,-1000,-1000,2,30,0.2
31,-1000,-1000,-1000,-1000,1,90,0.2
31,-1000,-1000,-1000,-1000,2,30,0.2
32,-1000,-1000,-1000,-1000,1,90,0.2
32,-1000,-1000,-1000,-1000,2,30,0.2
28,-1000,-1000,-1000,-1000,1,60,0.2
28,-1000,-1000,-1000,-1000,2,20,0.2
28,4,24,5,7,1,60,0.2
28,4,24,5,7,2,10,0.2
34,-1000,-1000,-1000,-1000,1,40,0.2
34,-1000,-1000,-1000,-1000,2,20,0.2
52,-1000,-1000,-1000,-1000,1,24,0.2
52,-1000,-1000,-1000,-1000,2,12,0.2
56,-1000,-1000,-1000,-1000,1,40,0.2
56,-1000,-1000,-1000,-1000,2,35,0.2
60,-1000,-1000,-1000,-1000,1,40,0.2
60,-1000,-1000,-1000,-1000,2,35,0.2
63,-1000,-1000,-1000,-1000,1,10,0.2
63,-1000,-1000,-1000,-1000,2,20,0.2
65,-1000,-1000,-1000,-1000,1,50,0.2
65,-1000,-1000,-1000,-1000,2,20,0.2
74,-1000,-1000,-1000,-1000,1,75,0.2
74,-1000,-1000,-1000,-1000,2,20,0.2
76,-1000,-1000,-1000,-1000,1,88,0.2
76,-1000,-1000,-1000,-1000,2,32,0.2
84,-1000,-1000,-1000,-1000,1,75,0.2
84,-1000,-1000,-1000,-1000,2,45,0.2
92,-1000,-1000,-1000,-1000,1,70,0.2
92,-1000,-1000,-1000,-1000,2,60,0.2
70,-1000,-1000,-1000,-1000,1,70,0.2
70,-1000,-1000,-1000,-1000,2,60,0.2
26,-1000,-1000,-1000,-1000,1,70,0.2
26,-1000,-1000,-1000,-1000,2,60,0.2
